# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v3.2 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2018-12-12T00:00:00.0
# Date end (ISO 8601): 2018-12-18T00:00:00.0
# Latitude (positive North, ISO 19115): 49.0800
# Longitude (positive East, ISO 19115): 9.4600
# Altitude (m): 507.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2018-12-12T00:00:00.0/2018-12-12T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-12T01:00:00.0/2018-12-12T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-12T02:00:00.0/2018-12-12T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-12T03:00:00.0/2018-12-12T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-12T04:00:00.0/2018-12-12T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-12T05:00:00.0/2018-12-12T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-12T06:00:00.0/2018-12-12T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-12T07:00:00.0/2018-12-12T08:00:00.0;55.4642;24.0900;10.7990;13.2911;153.0008;15.1434;5.0385;10.1049;87.2356;0.6667
2018-12-12T08:00:00.0/2018-12-12T09:00:00.0;216.5125;129.4035;88.1757;41.2279;557.2858;45.2081;0.7175;44.6988;3.9141;1.0000
2018-12-12T09:00:00.0/2018-12-12T10:00:00.0;339.4179;228.5332;175.9697;52.5634;725.6622;57.7433;0.8934;64.6522;4.0937;1.0000
2018-12-12T10:00:00.0/2018-12-12T11:00:00.0;410.8697;288.5767;231.5131;57.0636;790.9673;88.1002;2.9229;87.7512;9.8044;1.0000
2018-12-12T11:00:00.0/2018-12-12T12:00:00.0;425.9977;301.4870;244.5513;56.9357;806.1690;110.0317;5.2934;104.7383;17.5210;1.0000
2018-12-12T12:00:00.0/2018-12-12T13:00:00.0;383.7693;265.3604;211.8951;53.4653;774.4768;92.5645;5.3620;87.2025;19.1890;1.0000
2018-12-12T13:00:00.0/2018-12-12T14:00:00.0;287.0589;184.8802;139.3553;45.5250;676.6143;74.7934;2.4506;72.3428;11.8886;1.0000
