BHI,BNI,Clear sky BHI,Clear sky BNI,Clear sky DHI,Clear sky GHI,DHI,GHI,Reliability,apparentTemperature,cloudCover,cloudCoverError,dewPoint,humidity,precipIntensity,precipIntensityError,precipProbability,precipProbabilityError,pressure,pressureError,temperature,temperatureError,time,uvIndex,visibility,windBearing,windBearingError,windGust,windSpeed,windSpeedError
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.69,0.59,0.14,5.29,0.69,0.0,,0.0,,1014.63,53.17,10.69,,2018-04-30 22:00:00+00:00,0,10.01,252.0,,1.32,0.33,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.66,0.59,0.14,4.81,0.67,0.0,,0.0,,1014.71,53.13,10.66,,2018-04-30 23:00:00+00:00,0,10.01,184.0,,1.6,0.32,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.09,0.75,0.14,4.39,0.68,0.0,,0.0,,1014.68,53.09,10.09,,2018-05-01 00:00:00+00:00,0,10.01,192.0,,1.77,0.39,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.99,0.75,0.14,4.59,0.69,0.0,,0.0,,1014.58,53.05,9.99,,2018-05-01 01:00:00+00:00,0,10.01,226.0,,2.32,0.44,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.44,0.75,0.14,4.61,0.72,0.0,,0.0,,1014.45,53.01,9.44,,2018-05-01 02:00:00+00:00,0,10.01,235.0,,2.12,0.48,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.31,0.75,0.14,4.71,0.78,0.0,,0.0,,1014.36,52.97,8.31,,2018-05-01 03:00:00+00:00,0,10.01,264.0,,3.73,0.65,
2.7364,49.0636,19.8925,204.3087,17.9252,37.8177,10.8499,13.2562,0.8167,7.25,0.75,0.14,4.54,0.83,0.0,,0.0,,1014.32,52.93,7.25,,2018-05-01 04:00:00+00:00,0,10.01,287.0,,2.96,0.49,
0.2553,0.9834,141.0664,608.7646,48.6041,189.6705,48.3305,42.1427,1.0,6.67,0.75,0.14,3.84,0.82,0.0,,0.0,,1014.35,52.9,6.67,,2018-05-01 05:00:00+00:00,0,10.01,285.0,,3.4,0.88,
5.3976,13.4393,306.5704,786.2599,63.7949,370.3653,89.8175,94.9508,1.0,6.11,0.75,0.14,3.32,0.82,0.0,,0.0,,1014.43,52.86,6.11,,2018-05-01 06:00:00+00:00,1,10.01,289.0,,3.61,1.03,
15.8947,28.8747,468.7424,871.2415,74.6155,543.3580000000002,165.1031,180.9978,1.0,5.81,0.75,0.14,2.99,0.82,0.0,,0.0,,1014.52,52.82,5.81,,2018-05-01 07:00:00+00:00,2,10.01,295.0,,4.03,1.05,
